id,team,wiki,region,country,village,kind,section,application,isRemote,year
1319,Aachen,https://2014.igem.org/Team:Aachen,europe,DEU,Measurement,collegiate,overgrad,accepted,FALSE,2014
1585,Aachen,https://2015.igem.org/Team:Aachen,europe,DEU,Manufacturing,collegiate,overgrad,accepted,FALSE,2015
2020,Aachen,https://2016.igem.org/Team:Aachen,europe,DEU,New Application,collegiate,overgrad,accepted,FALSE,2016
2225,Aachen,https://2017.igem.org/Team:Aachen,europe,DEU,Environment,collegiate,overgrad,accepted,FALSE,2017
2702,Aachen,https://2018.igem.org/Team:Aachen,europe,DEU,Diagnostics,collegiate,overgrad,accepted,FALSE,2018
3013,Aachen,https://2019.igem.org/Team:Aachen,europe,DEU,Environment,collegiate,overgrad,accepted,FALSE,2019
3456,Aachen,https://2020.igem.org/Team:Aachen,europe,DEU,Foundational Advance,collegiate,overgrad,accepted,FALSE,2020
3774,Aachen,https://2021.igem.org/Team:Aachen,europe,DEU,Foundational Advance,collegiate,overgrad,accepted,FALSE,2021
4138,Aachen,https://2022.igem.wiki/aachen,europe,DEU,Environment,collegiate,overgrad,accepted,FALSE,2022
4744,Aachen,https://2023.igem.wiki/aachen,europe,DEU,Bioremediation,collegiate,overgrad,accepted,FALSE,2023
5033,Aachen,https://2024.igem.wiki/aachen,europe,DEU,Oncology,collegiate,overgrad,accepted,FALSE,2024
5587,Aachen,,europe,DEU,,collegiate,collegiate,accepted,,2025
1443,Aalto-Helsinki,https://2014.igem.org/Team:Aalto-Helsinki,europe,FIN,Entrepreneurship,collegiate,undergrad,accepted,FALSE,2014
1655,Aalto-Helsinki,https://2015.igem.org/Team:Aalto-Helsinki,europe,FIN,Energy,collegiate,undergrad,accepted,FALSE,2015
1907,Aalto-Helsinki,https://2016.igem.org/Team:Aalto-Helsinki,europe,FIN,Environment,collegiate,overgrad,accepted,FALSE,2016
2342,Aalto-Helsinki,https://2017.igem.org/Team:Aalto-Helsinki,europe,FIN,Therapeutics,collegiate,overgrad,accepted,FALSE,2017
2647,Aalto-Helsinki,https://2018.igem.org/Team:Aalto-Helsinki,europe,FIN,New Application,collegiate,overgrad,accepted,FALSE,2018
3016,Aalto-Helsinki,https://2019.igem.org/Team:Aalto-Helsinki,europe,FIN,Manufacturing,collegiate,overgrad,accepted,FALSE,2019
3386,Aalto-Helsinki,https://2020.igem.org/Team:Aalto-Helsinki,europe,FIN,Environment,collegiate,overgrad,accepted,FALSE,2020
3793,Aalto-Helsinki,https://2021.igem.org/Team:Aalto-Helsinki,europe,FIN,New Application,collegiate,overgrad,accepted,FALSE,2021
4159,Aalto-Helsinki,https://2022.igem.wiki/aalto-helsinki,europe,FIN,Therapeutics,collegiate,overgrad,accepted,FALSE,2022
4701,Aalto-Helsinki,https://2023.igem.wiki/aalto-helsinki,europe,FIN,Environment,collegiate,overgrad,accepted,FALSE,2023
